story,question,true_answer,wrong_answer,baseline_answer,baseline_correct,baseline_activations_at_question,baseline_activations_after_answer,steered_answer,steered_correct,steered_activations_at_question,steered_activations_after_answer,diff_at_question,diff_after_answer,accuracy_improvement
"Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead. Zara reads the updated label carefully.",Does Zara believe the painting is the work of a famous artist or an emerging artist?,Zara believes the painting is the work of an emerging artist.,Zara believes the painting is the work of a famous artist.,"Emerging artist. 

The story states that the gallery staff member *changed* the label to reflect the correct attribution – an emerging artist. Therefore, Zara now believes the painting is by an emerging artist.",True,{},{},Emerging artist. The gallery staff member changed the label to reflect that the original assessment was incorrect.,True,{},{},{},{},False
"Carlos is a farmer in a small village in Mexico, tending to his cornfield. He wants to irrigate his crops by opening a water valve connected to a nearby river. Carlos closed the valve the previous evening. During the night, heavy rainfall caused the river to overflow, opening the valve and flooding the cornfield. Carlos sees the flooded cornfield.",Does Carlos believe the water valve is closed or open?,Carlos believes the water valve is open.,Carlos believes the water valve is closed.,"Open.

The story states that the heavy rainfall caused the river to overflow, which opened the valve. Carlos sees the flooded field, indicating the water is coming *in* through the valve.",True,{},{},"Open. 

The description states the river overflowed, which would have forced the valve to close to prevent further flooding. He's now seeing the result of that action – a flooded field – confirming the valve is definitely open.",True,{},{},{},{},False
"Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep. A gust of wind blows the package off her doorstep, and a neighbor replaces it with a different package containing a hand-knit scarf. Azola witnesses the package swap.",Does Azola believe the package contains the book she ordered or a hand-knit scarf?,Azola believes the package contains a hand-knit scarf.,Azola believes the package contains the book she ordered.,"Azola likely believes the package contains a hand-knit scarf. 

Here’s the reasoning:

* **She witnessed the swap:** The core of the story is that she directly observed the neighbor replacing the Amazon package with a different one.
* **Lack of evidence to the contrary:** The story doesn't provide any information suggesting she expected the book or that she’d be surprised by a scarf.

Therefore, her immediate reaction would be to assume she received something different from what",True,{},{},"It's definitely a hand-knit scarf. She witnessed the neighbor replacing the book with the scarf, indicating it wasn’t the original package she ordered. It’s not a simple question of “is it the book?” but a confirmation of the action she saw.

**Answer: She believes it contains a hand-knit scarf.**",False,{},{},{},{},False
"Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes. A mischievous monkey comes along and eats all the ripe mangoes on the branch while Ravi is gathering his harvesting tools. Ravi sees the monkey eating the ripe mangoes.",Does Ravi believe the branch has ripe mangoes or no ripe mangoes?,Ravi believes the branch has no ripe mangoes.,Ravi believes the branch has ripe mangoes.,"Ravi initially *believes* the branch has ripe mangoes. He’s noticed a heavy branch and is preparing to harvest. However, the monkey’s actions reveal that his belief is incorrect. 

Therefore, the answer is: **Ravi initially believes the branch has ripe mangoes, but then realizes it doesn't.** 

It's important to note the distinction between what he *thought* and what he *now knows*.",False,{},{},"He believes it has **no ripe mangoes**. He just saw the monkey eating them, indicating they weren’t ripe before! It’s not a question of “should” they be ripe, but “are” they now – definitely not!",False,{},{},{},{},False
"Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. An apprentice chef, mistakenly thinking it was a seasoning paste, removes the peanut butter from the soup and replaces it with tomato paste. Kofi notices the apprentice chef swapping the ingredients.",Does Kofi believe the soup contains peanut butter or tomato paste?,Kofi believes the soup contains tomato paste.,Kofi believes the soup contains peanut butter.,Kofi believes the soup contains **tomato paste**. He didn't see the swap happen and was unaware the apprentice chef had replaced the peanut butter.,False,{},{},"Kofi believes the soup contains **tomato paste**. He saw the apprentice chef replacing the peanut butter with it and knows it wasn't the original ingredient. It’s not a good idea, but that’s his immediate assessment!",False,{},{},{},{},False
"Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap. His assistant, who is busy preparing a different wrap, accidentally swaps the garlic sauce with a bottle of hot sauce, and Farhan unknowingly pours the hot sauce onto the shawarma wrap. Farhan notices the sauce swap.",Does Farhan believe the sauce he poured is garlic sauce or hot sauce?,Farhan believes the sauce he poured is hot sauce.,Farhan believes the sauce he poured is garlic sauce.,Farhan believes the sauce he poured is garlic sauce. He just took the bottle from the shelf and poured it onto the wrap – he doesn’t realize it’s been switched.,False,{},{},"He believes it's garlic sauce. He just saw him pouring it and knows he needs to add extra garlic sauce, not a potential replacement. It's not a question of ""is it hot sauce?"" but ""is this the right kind of sauce?"". 

It’s a clear, immediate realization of a potential problem, not a doubt about the type of sauce.",False,{},{},{},{},False
"Abhay is a young farmer in a small Indian village. He wants to water his crops with the water stored in a large clay pot. Abhay checks the water level and sees that the pot is full. Unbeknownst to him, a hole in the bottom of the pot has caused the water to leak out, leaving the pot empty. Abhay notices the hole and the water leaking out.",Does Abhay believe the pot is full of water or empty?,Abhay believes the pot is empty.,Abhay believes the pot is full of water.,"Abhay believes the pot is full of water. He *checks* the water level and sees it’s full. He doesn’t observe the leak until *after* he’s made that initial assessment. 

So the answer is: **Full**.",False,{},{},"The answer is **he believes the pot is empty**.

Here's the breakdown:

*   He sees the water leaking out.
*   He knows there's a hole.
*   He understands that the water is no longer inside the pot.

It's not a question of what *is* there, but what he *observes* and understands to be the situation.",False,{},{},{},{},False
"Aniket is a marine biologist studying coral reefs off the coast of India. Aniket needs to collect samples of coral to analyze the effects of climate change on the reef. Aniket spots a healthy-looking coral formation in a specific area of the reef. A sudden wave surge stirs up sediment, covering the once healthy coral formation and causing it to become damaged. Aniket notices the wave surge and the sediment covering the coral.",Does Aniket believe the coral formation is healthy or damaged?,Aniket believes the coral formation is damaged.,Aniket believes the coral formation is healthy.,"Aniket believes the coral formation is **damaged**. 

The story states he notices the wave surge and sediment covering the coral, which directly indicates damage. The initial description of the coral as “healthy-looking” is contradicted by the subsequent events.",False,{},{},"Damaged. The description states ""a sudden wave surge stirs up sediment, covering the once healthy coral formation and causing it to become damaged."" This clearly indicates a change from a healthy state to a damaged one.",True,{},{},{},{},True
"Kavi is a chef at a popular Indian restaurant in a bustling city. Kavi wants to make his signature dish, a spicy curry, for the customers tonight. Kavi checks the pantry and sees a full bottle of his favorite hot sauce. When Kavi is away, a new chef accidentally knocks over the hot sauce, spilling its contents all over the floor. Kavi sees the spilled hot sauce on the floor.",Does Kavi believe there is a full bottle of hot sauce available or that the hot sauce has been spilled?,Kavi believes the hot sauce has been spilled.,Kavi believes there is a full bottle of hot sauce available.,Kavi believes the hot sauce has been spilled. He *just* saw it on the floor.,True,{},{},"The answer is: **He believes the hot sauce has been spilled.**

It's not a question of whether it's *available* – it's definitely not, it's not in its bottle. He's seeing the evidence of it being spilled, not the remaining contents.",True,{},{},{},{},False
"Hiroshi is a fisherman in a small coastal village in Japan. Hiroshi wants to catch some fish to provide dinner for his family. Hiroshi checks the weather forecast and sees that it will be sunny throughout the day. Suddenly, a heavy rainstorm moves in, darkening the sky and causing strong waves. Hiroshi notices the rainstorm approaching.",Does Hiroshi believe the weather will be sunny or does he expect a rainstorm?,Hiroshi believes there will be a rainstorm.,Hiroshi believes the weather will be sunny all day.,"Hiroshi believes the weather will be sunny. The story states he “checks the weather forecast and sees that it will be sunny throughout the day.” However, his belief is immediately contradicted by the sudden arrival of a rainstorm.",False,{},{},"He believes the weather will be sunny, but he expects a rainstorm. He just checked the forecast and it said sunny, but then he saw the rainstorm and knew it wasn't going to be sunny after all. It's a conflict between the forecast and what he's observing.",False,{},{},{},{},False
